Restult = 17949.87, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 3
Restult = 18243.79, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 4
Restult = 18066.14, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 5
Restult = 17884.47, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 6
Restult = 18069.55, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 7
Restult = 18012.27, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 8
Restult = 18165.81, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 9
Restult = 18349.58, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 280, multiplier = 10
Restult = 18817.03, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 1
Restult = 18613.54, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 2
Restult = 18841.48, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 3
Restult = 18979.89, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 4
Restult = 18802.45, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 5
Restult = 18841.48, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 6
Restult = 18670.07, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 7
Restult = 18902.3, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 8
Restult = 19172.7, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 9
Restult = 18699.86, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 320, multiplier = 10
Restult = 19458.26, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 1
Restult = 19635.09, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 2
Restult = 18966.05, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 3
Restult = 18966.05, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 4
Restult = 19458.26, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 5
Restult = 19416.42, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 6
Restult = 19475.73, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 7
Restult = 19475.73, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 8
Restult = 19635.09, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 9
Restult = 19951.84, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 360, multiplier = 10
Restult = 19505.09, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 1
Restult = 19458.26, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 2
Restult = 19527.04, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 3
Restult = 19527.04, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 4
Restult = 19635.09, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 5
Restult = 19458.26, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 6
Restult = 19547.77, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 7
Restult = 20149.21, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 8
Restult = 19547.77, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 9
Restult = 19458.26, lr0 = 1.0, tlr = 200, size0 = 0.05, tsize = 400, multiplier = 10
Restult = 9284.98, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 1
Restult = 9128.8, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 2
Restult = 8829.9, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 3
Restult = 9447.68, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 4
Restult = 9381.05, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 5
Restult = 9427.09, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 6
Restult = 9121.89, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 7
Restult = 9265.76, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 8
Restult = 9314.82, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 9
Restult = 9213.72, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 40, multiplier = 10
Restult = 9752.02, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 1
Restult = 9659.4, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 2
Restult = 9620.29, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 3
Restult = 9738.92, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 4
Restult = 9670.92, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 5
Restult = 9855.37, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 6
Restult = 9496.92, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 7
Restult = 9406.93, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 8
Restult = 9347.27, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 9
Restult = 9779.88, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 80, multiplier = 10
Restult = 10642.92, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 1
Restult = 10831.63, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 2
Restult = 11149.91, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 3
Restult = 11700.04, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 4
Restult = 9863.82, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 5
Restult = 10583.28, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 6
Restult = 10218.38, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 7
Restult = 10373.77, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 8
Restult = 11054.78, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 9
Restult = 11158.18, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 120, multiplier = 10
Restult = 12110.62, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 1
Restult = 13009.56, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 2
Restult = 11318.3, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 3
Restult = 11724.76, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 4
Restult = 11901.36, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 5
Restult = 11912.38, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 6
Restult = 10950.93, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 7
Restult = 11851.27, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 8
Restult = 11267.24, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 9
Restult = 11306.01, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 160, multiplier = 10
Restult = 13421.92, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 1
Restult = 13735.35, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 2
Restult = 11550.18, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 3
Restult = 13525.37, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 4
Restult = 12408.43, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 5
Restult = 12854.46, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 6
Restult = 12509.7, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 7
Restult = 12783.78, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 8
Restult = 12836.06, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 9
Restult = 11676.07, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 200, multiplier = 10
Restult = 15532.07, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 1
Restult = 15640.84, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 2
Restult = 16605.31, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 3
Restult = 12817.27, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 4
Restult = 15756.22, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 5
Restult = 14997.35, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 6
Restult = 14795.64, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 7
Restult = 15600.09, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 8
Restult = 15819.11, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 9
Restult = 14869.53, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 240, multiplier = 10
Restult = 17994.86, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 1
Restult = 17949.87, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 2
Restult = 18689.6, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 3
Restult = 18912.92, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 4
Restult = 18593.13, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 5
Restult = 16997.08, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 6
Restult = 18853.13, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 7
Restult = 18853.13, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 8
Restult = 17683.32, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 9
Restult = 18243.85, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 280, multiplier = 10
Restult = 18793.49, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 1
Restult = 18270.58, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 2
Restult = 18332.52, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 3
Restult = 18976.89, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 4
Restult = 18534.46, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 5
Restult = 18657.57, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 6
Restult = 18458.56, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 7
Restult = 18346.98, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 8
Restult = 18701.9, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 9
Restult = 19225.93, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 320, multiplier = 10
Restult = 18817.03, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 1
Restult = 18905.98, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 2
Restult = 18802.51, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 3
Restult = 18802.45, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 4
Restult = 19197.13, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 5
Restult = 19020.91, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 6
Restult = 19182.6, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 7
Restult = 19264.52, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 8
Restult = 18936.68, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 9
Restult = 18699.86, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 360, multiplier = 10
Restult = 18966.05, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 1
Restult = 19505.09, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 2
Restult = 19246.26, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 3
Restult = 19474.39, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 4
Restult = 18966.05, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 5
Restult = 19635.09, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 6
Restult = 18966.05, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 7
Restult = 19267.19, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 8
Restult = 19505.09, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 9
Restult = 19475.73, lr0 = 0.5, tlr = 200, size0 = 0.1, tsize = 400, multiplier = 10
Restult = 9196.94, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 1
Restult = 9435.17, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 2
Restult = 8603.3, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 3
Restult = 9537.76, lr0 = 0.3333333333333333, tlr = 200, size0 = 0.15000000000000002, tsize = 40, multiplier = 4
